Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Serbia,942,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7508114,106.3048378,76.1202804,71.7588707,62.17836897,54.10918212,40.29681563,33.43598933,32.37669167,35.95234993,43.67900101,46.60881377,58.31626856,61.41768354,72.00714129,77.43168052
Seychelles,718,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19047687,6.237115182,7.234044002,4.485776963,4.94929039,,,19.9953,23.7908,31.9577,42.6564,47.4895,68.1667,82.3621,90.6273,84.6246,79.8578,72.8627,81.2652,79.1992,82.0331,90.9288,98.5744,104.885,101.239,116.576,128.985,172.5610461,201.2699325,202.0517103,175.7153114,163.2258289,144.0642801,132.5092585,130.7487613,130.0094269,121.2923817,81.8939927,77.28869109,82.53816372,68.79577338,68.62947354,68.9995686
Sierra Leone,724,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0815,31.829,31.7791,37.4761,42.6052,42.8112,50.0057,55.7287,59.8542,57.2454,63.0025,72.9859,75.3305,80.0306,66.4948,88.2165,106.791,132.575,83.4057,88.8654,178.511,139.842,180.708,179.462,241.415,185.413,161.211,178.093,211.739,208.681,211.177,186.069,174.617,177.734,160.493,133.859,103.1103812,42.1794789,42.37418752,48.0503823,46.84909688,44.7511259,36.7654907,30.54525007,34.96386015,43.75789079
Singapore,576,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65615933,18.74420292,17.6112511,20.77826519,26.61185742,35.94401662,33.89646484,48.24798051,53.72535588,49.95323938,45.10395539,43.64114464,52.45347324,56.83244356,82.6328264,88.56958573,88.96925345,72.29980692,59.65320441,63.89410972,69.01619921,73.17237805,82.65205393,84.61170702,88.95983291,80.04759242,77.46048851,72.93670301,75.15692407,79.15523029,71.25457319,66.86094906,69.44201619,69.76472328,68.83370819,80.30051527,86.0014947,81.32930067,93.14001454,95.21435657,100.1988807,96.68225376,94.30934485,87.90797794,86.30170419,93.92765067,104.16061,99.63432312,102.2678565,106.5004107,103.900482,99.76335068,104.6822786
Canada,156,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.012023,28.1075842,27.72188688,27.4702747,29.45417096,33.8121547,39.36447712,37.95721187,41.015625,40.88968771,38.58921162,33.40953051,30.2148974,36.95829926,42.03691046,45.44634806,44.76547173,42.54622811,41.56750754,39.34126258,37.93405311,37.24235963,37.55533343,39.27315358,42.3702794,44.36375118,44.16354557,40.027894,37.56173642,34.86682809,32.17985453,29.97880287,25.18756699,24.69869292,24.46508542,22.69555637,19.39838784,18.74783011,22.85645181,20.99766088,19.23076923,20.73258105,18.44500581,20.74297567,30.62974761,36.22703266,43.48228328,46.86991157,61.90308577,68.18702203,58.38882412,74.08316559,75.55681523,70.66493974,72.46473398,64.85577597,62.90322581,57.77737817,53.17355372,53.20084704,60.78671329,79.6079267,102.3072889,117.8694158,108.2892416,105.1615903,98.4246871,87.94123259,90.8383915,90.98025262,91.0025324,91.58415842,93.7359961,113.5981182,131.7099932,155.4665768,153.7820782,131.6113709,112.9666645,103.3095238,87.64850297,76.43249368,69.97336069,67.11488914,68.19841629,66.37932228,58.33727264,57.56577312,63.0234449,64.10123801,64.79958351,67.282596,66.56419922,65.30240401,61.95337832,58.24157517,57.0055189,56.95810657,56.2553023,54.36251119,56.67909891,57.82528342,56.62421901,52.27005681,49.44554481,49.81958234,42.78663756,44.24834897,47.06346904,45.06239608,45.40978754,46.55769063,52.26005889,57.83687943,60.8662321,65.88197543,70.1014483,70.54756567,70.51566737,71.7590535,74.53147242,81.536166,89.18312024,95.03926898,97.78482015,100.4038732,100.5726801,95.5912256,93.61396359,89.27309907,80.70592718,81.75045265,79.88796521,76.18088242,72.13528168,70.86783042,70.12586055,66.84408071,67.83431533,79.28331946,81.09726676,81.51346868,84.83992829,86.07985549,86.20131442,91.4993183
Central African Republic,626,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2677,20.3827,20.5337,24.7188,26.6152,25.1362,25.3836,26.493,24.2957,20.3587,28.7642,33.305,35.9543,41.4096,43.6978,40.355,42.2714,51.2411,51.9313,54.2027,46.8194,58.9819,59.698,68.9406,103.998,83.4799,92.1375,89.2282,87.7291,86.0771,92.83919769,103.339755,100.5282121,102.6571536,103.9270996,108.7708143,49.21270009,49.46773383,36.62677435,21.09277401,21.43005282,21.83095963,23.51840851,38.53181617,51.14742433,48.49817163
Chad,628,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9567,17.8159,12.8092,13.8641,18.549,24.3247,27.6848,33.8377,36.9029,47.1965,46.1946,34.9616,30.5768,29.9888,25.4085,23.4257,23.408,27.2504,26.9204,29.1685,32.3607,39.2503,48.6242,59.1066,73.6249,66.3309,65.4494,67.64,63.8787,76.5804,83.6519,68.5092,68.048,59.9715,40.1087,25.64047532,26.24279816,22.15007447,19.95405052,31.66828069,30.1225557,30.54726656,28.77865486,30.34446035,39.21208022,42.61096801
Chile,228,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.04136364,17.19333333,15.6121875,13.8235,12.68531915,12.38962963,10.6725,9.171898734,,,,,,,,,,,,,,,,,,,,,,,36.803,47.5555,63.719,100.858,78.639,108.319,68.2631,58.7624,47.1517,38.7953,29.5888,19.0272,33.9579,71.4269,117.486,165.546,164.955,147.047,113.247,82.6764,77.1557,66.5652,54.4441,47.4207,41.0422,31.8986,26.8037,26.3245,25.1403,,13.19083376,14.39483046,15.08659708,12.6407208,10.29437143,6.9971509,4.993886336,3.889887491,4.918934688,5.834730583,8.600537402,11.15252537,12.02942574,12.79086897,15.05924325,17.53970464
China,924,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971136206,3.305221643,3.240819312,3.599086717,4.460598814,6.497053217,6.947783964,7.428322541,4.980783457,6.713095102,6.137202142,21.44726109,21.25870452,20.44819565,20.49631829,21.6875467,22.80893337,24.3842426,25.71095922,26.57400688,26.1683666,26.09847848,25.38194731,29.03554325,27.00020587,32.55671754,33.08979586,33.08620955,34.02145976,36.9283753,39.83093208,42.91928325
Colombia,233,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15068493,13.53620955,11.59047006,10.6627566,11.15254237,12.77777778,12.24274406,12.66548201,11.23054651,15.61176471,14.10322581,,,,,,,,,,,,6.556108882,,5.518375893,7.21869761,9.356643958,9.304662895,8.695223289,9.464723747,9.152018861,9.685771415,9.954993468,10.78067165,,,20.772,19.8055,18.7643,19.4031,17.5886,14.7844,13.0411,14.4253,12.4449,13.9408,16.2285,20.1716,25.1173,30.5112,35.1289,38.333,35.1893,33.2872,34.813,33.2014,30.2158,29.2086,25.5827,28.3411,,29.40733045,31.95874368,39.55787236,44.22089409,40.8296942,47.2382031,44.74858042,41.21409531,38.28350843,35.75424069,32.46881989,32.14411417,35.17127989,36.43917218,35.73317026,34.08250305,37.78252201,44.20248381,50.56926335
Comoros,632,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3218,79.5624,99.5755,115.873,100.675,98.5786,94.1671,85.8071,72.8837,71.8634,70.298,69.9335,106.517,90.8699,97.2686,103.505,106.4,100.327,106.057,104.13,100.269,84.0576,78.248,69.7335,68.5787,64.8131,57.48850454,53.62478221,50.7376326,45.74097317,42.57570852,18.14567757,22.59085793,25.38521997
Pakistan,564,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.41777778,14.62385321,15.56164384,17.6745283,16.93832599,17.79699248,19.88732394,21.49285714,20.08888889,19.53735632,19.59452055,20.82448207,23.98215712,26.67342546,28.3715684,31.35254311,32.45740588,34.44286961,36.44626444,47.90775,51.67525,91.07394,74.95815,63.83775,52.76964,56.17273,57.51933,55.66193,60.18154,54.25191,48.20575,54.88519,54.5555,54.23666,60.1875,69.97825,72.07623,72.92385,75.47948,78.7673,,,,72.95962761,65.22826373,65.48564304,65.7997837,66.95906237,75.61155894,74.84806051,79.09015817,73.66868577,68.18683033,61.55602041,58.92103322,53.93162993,51.95484777,57.28685345,58.56650148,60.67341713,58.94207539,63.34962689,64.23942597,63.68253833,63.56766342
